code,date,itrf2008_X,itrf2008_Y,itrf2008_Z,itrf2008_lon,itrf2008_lat,itrf2008_hgt,itrf96_lon,itrf96_lat,itrf96_hgt,nzgd2000_lon,nzgd2000_lat,nzgd2000_hgt,gdb_lon,gdb_lat,gdb_hgt,e_diff,n_diff,h_diff
"NPLY","06-10-2014",-4924806.8852,507350.5224,-4008310.0537,174.118174021,-39.182551988,416.9296,174.118174286,-39.182552221,416.9394,174.118174034,-39.182557370,416.9394,174.118174081,-39.182557372,416.9770,0.0041,-0.0003,0.0376
"PYGR","06-10-2014",-4306159.1420,1019462.1490,-4578241.5914,166.680730723,-46.166171705,253.2283,166.680731007,-46.166171942,253.2425,166.680735098,-46.166176640,253.2425,166.680735150,-46.166176200,253.0890,0.0040,0.0489,-0.1535
"TAUP","06-10-2014",-4969936.7257,340472.5072,-3970346.9014,176.080995163,-38.742712113,427.0269,176.080995430,-38.742712342,427.0365,176.080994584,-38.742716664,427.0365,176.080994600,-38.742716490,427.0240,0.0014,0.0193,-0.0125
"TRNG","06-10-2014",-5040272.5063,329395.9090,-3881772.9304,176.260877717,-37.728807012,151.1002,176.260877980,-37.728807241,151.1091,176.260877289,-37.728812059,151.1091,176.260877264,-37.728812089,151.1300,-0.0022,-0.0034,0.0209
"VGMT","06-10-2014",-4921574.1201,389889.4722,-4025938.0514,175.470460567,-39.384577989,836.5350,175.470460836,-39.384578218,836.5450,175.470460866,-39.384583047,836.5451,175.470460738,-39.384582934,836.5660,-0.0110,0.0125,0.0209
"WAIM","06-10-2014",-4488353.8548,717287.1639,-4460946.7290,170.920296357,-44.655700640,1044.8533,170.920296642,-44.655700870,1044.8666,170.920302381,-44.655704978,1044.8666,170.920302597,-44.655704930,1044.8970,0.0171,0.0054,0.0304
"WANG","06-10-2014",-4888073.5549,443004.7956,-4060015.2256,174.821446388,-39.786875757,289.6779,174.821446657,-39.786875987,289.6882,174.821447129,-39.786880974,289.6890,174.821447061,-39.786880919,289.7130,-0.0058,0.0061,0.0240
"WARK","06-10-2014",-5115333.3533,477886.8934,-3767147.2880,174.662780146,-36.434408845,111.2779,174.662780401,-36.434409080,111.2858,174.662779363,-36.434414309,111.2858,174.662779544,-36.434414178,111.3280,0.0162,0.0145,0.0422
"WEST","06-10-2014",-4717762.5047,679316.9798,-4224935.1375,171.806222352,-41.744741015,665.3514,171.806222624,-41.744741249,665.3628,171.806222877,-41.744746797,665.3619,171.806223000,-41.744746710,665.4100,0.0103,0.0096,0.0481
"WGTN","06-10-2014",-4777269.6694,434270.4557,-4189484.1569,174.805889727,-41.323452604,26.0181,174.805890003,-41.323452831,26.0294,174.805894025,-41.323457157,26.0288,174.805894058,-41.323457079,26.0730,0.0028,0.0087,0.0442
"WHKT","06-10-2014",-5027028.4675,262234.3613,-3903984.2976,177.013878881,-37.981682713,231.8363,177.013879146,-37.981682940,231.8455,177.013877909,-37.981686292,231.8455,177.013877779,-37.981686223,231.8710,-0.0114,0.0076,0.0255
"WHNG","06-10-2014",-5153430.7679,513057.5011,-3710655.6847,174.314567374,-35.803766021,172.7808,174.314567627,-35.803766258,172.7882,174.314566496,-35.803771589,172.7882,174.314566703,-35.803771461,172.8150,0.0187,0.0143,0.0268
